A ipazia de Alejandria,tango contemporaneo,T0429510291,Alejandro Fasanini,-
A Irena Sendler,tango contemporaneo,T0429510315,Alejandro Fasanini,-
A Irineo Leguisamo,poema lunfardo,Z0999912458,,Héctor Gagliardi
A ja mam tylko ciebie,tango,Z0999905001,Fred Scher,Emanuel Szlechter
A jednak kocham cię,tango,Z0999905002,Aleksander Sienkiewicz,Ludwik Szmaragd
A Jesu,tango,Z0999990014,,
A Jorge Newbery,,Z0999918344,"José Razzano, Carlos Gardel",
A Jorge Páez Vilaró,tango,T0464158266,"Miguel Villasboas, Orlando Romanelli",-
A José Artigas,milonga,Z0999990015,,
A José Manuel Abarno,,T0370681165,,Abel Fontán
A José Manuel Moreno,tango,T0370065589,Armando Pontier,-
A José Neira,tango,Z0999913648,José Canet,José Canet
A Juan Carlos Copes,,T0372215514,"Juan Carlos Copes, Adolfo Gómez",
A Julio Jorge Nelson,tango,Z0999918904,Washington Reyes,Eduardo Marvezi
A jutro rano,tango,Z0999905003,Sam Coslow,Zofia Godlewska
A la cabeza Buenos Aires,tango,Z0999990016,Alejandro Fasanini,Alejandro Fasanini
A la carga federales,milonga,T0371073210,Roberto Rimoldi Fraga,
A la ciudad de Montevideo,tango,Z0999918953,,
A la criolla,tango,T0370091023,Anselmo A. Aieta,Francisco García Jiménez
A la criolla argentina,milonga,T0371900036,,
A la D'Arienzo,tango,T0370923708,José Reschini,
A la deriva,,T0370073758,"Carlos Bahr, Fernando Miscione","Carlos Bahr, Fernando Miscione"
A la deriva,tango,Z0999901137,,Luis Coraggio
A la distancia,tango,T0370171984,Alberto Vernieri,
A la edad de los varones,poema lunfardo,Z0999912990,,
A la escuela,,T0370948416,Mario Valdez,
A la flauta,tango,T0370923720,Mariano Mores,-
A la flauta,,T0373827623,Juan Cedrón,Luis Alposta
A la francesa,milonga,T0370109060,Enrique Mónaco,Francisco Bautista Rímoli
A la francesa,tango,Z0999917624,Guido Vanzina Pacheco,-
A la gran flauta,tango,Z0999917553,Alberto Poggi,-
A la gran muñeca,tango,T0370183939,Jesús Ventura,Miguel Osés
A la Guardia Imperial,tango,T0372888000,José Colángelo,-
A la guardia nueva,tango,T0370474740,Aníbal Troilo,-
A la guardia vieja,tango,T0370316587,Armando Pontier,-
A la Huacachina,polca,T0468465577,Francisco Pérez Anampa,Carlos Saco Herrera
A la huella huella,,T0370109106,Mariano Mores,
A la lima y al limón,,T0421430161,Manuel López-Quiroga Miquel,Rafael de León
A la luna,tango humorístico,T0370510294,Pablo Hechím,Pablo Hechím
A la luz de la fogata,,T0371173624,Juan Cedrón,Raúl González Tuñón
A la luz de la luna,fox trot,T0464661435,Ramón Collazo,Víctor Soliño
A la luz de las tabernas,tango,Z0999901973,,
A la luz de los faroles,tango,Z0999912573,Rosendo Mendizábal,-
A la luz de tu piel,,T0372531957,,Abel Fontán
A la luz del candil,tango,T0370000455,Carlos Vicente Geroni Flores,Julio Plácido Navarrine
A la luz del lucero,tango,Z0999901138,,
A la luz del sol,,Z0999990017,,Alberto Peyrano
A la mar se fue,vals,T0370000466,Armando Acquarone,Tristán Antonio Alonso
A la más linda del barrio,milonga,Z0999916759,Juan José Guichandut,Celedonio Flores
A la memoria de Astor,tango,T0373412839,Saúl Cosentino,-
A la memoria de Jorge Newbery,estilo,Z0999917335,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano"
A la milonga,poema lunfardo,Z0999910524,,
A la mujer argentina,tango,T0370402008,Alejandro Romay,Roberto Giménez
A la once,tango,Z0999914343,Alberto Crosa,-
A la parrilla,tango,Z0000010351,Carlos Figari,-
A la pelotita,vals,T0370365879,"Aldo Francisco Cammarota, Armando Libreto","Aldo Francisco Cammarota, Armando Libreto"
A la puerta del viejo colegio,vals,T0374059843,Pepe Motta,Alejandro Szwarcman
A la señora Academia,poema lunfardo,Z0999911254,,
A la sombra,,T0370109242,Agustín Bardi,-
A la sombra,vals,T0370291863,Adolfo Pérez,
A la sombra del recuerdo,tango,Z0999914557,Agustín Bardi,Francisco García Jiménez
A la vejez,tango,Z0999915782,Samuel Castriota,-
