Orquesta Aníbal Troilo con Jorge Casal y Raúl Berón,Aníbal Troilo,"Raúl Berón, Jorge Casal"
Orquesta Carlos Di Sarli con Roberto Rufino,Carlos Di Sarli,Roberto Rufino
Orquesta Osmar Maderna con Héctor de Rosas,Osmar Maderna,Héctor De Rosas
Orquesta Ángel D'Agostino con Roberto Alvar,Ángel D'Agostino,Roberto Alvar
Orquesta Edgardo Donato con Lita Morales y coro,Edgardo Donato,Lita Morales
Elsa Rivas acomp. de Cuarteto Aníbal Troilo,Aníbal Troilo,Elsa Rivas
"Orquesta Edgardo Donato con Horacio Lagos, Lita Morales y Romeo Gavio",Edgardo Donato,"Horacio Lagos, Lita Morales, Romeo Gavioli"
Orquesta Osmar Maderna con Luis Tolosa,Osmar Maderna,Luis Tolosa
"Orquesta Juan Maglio ""Pacho"" con Ángel Ramos",Juan Félix Maglio,Ángel Ramos
Orquesta Típica Porteña Dir. Adolfo Carabelli con Juan Carlos Delson,Orquesta Típica Porteña,Juan Carlos Delson
Orquesta Aníbal Troilo con Ángel Cárdenas,Aníbal Troilo,Ángel Cárdenas
Orquesta Alfredo Gobbi con Carlos Heredia y Hugo Soler,Alfredo J. Gobbi,"Carlos Heredia, Hugo Soler"
Orquesta Edgardo Donato con Félix Gutiérrez,Edgardo Donato,Félix Gutiérrez
Orquesta Ángel D'Agostino con Rubén Cané,Ángel D'Agostino,Rubén Cané
Cuarteto Roberto Firpo,Roberto Firpo,-
Orquesta Francisco Canaro con Carlos Gardel,Terig Tucci,Carlos Gardel
Orquesta Francisco Canaro con Guillermo Coral y Alberto Arenas,Francisco Canaro,"Guillermo Rico, Alberto Arenas"
Orquesta Alfredo De Angelis con Juan Carlos Godoy y Oscar Larroca,Alfredo De Angelis,"Juan Carlos Godoy, Oscar Larroca"
Orquesta Osmar Maderna con Pedro Dátila y Mario Corrales,Osmar Maderna,"Mario Pomar, Pedro Dátila"
Orquesta Miguel Caló con Chola Luna,Miguel Caló,Chola Luna
Orquesta Típica Victor con Agustín Magaldi,Francisco Lomuto,Fernando Díaz
Orquesta Osvaldo Pugliese con Augusto Gauthier,Osvaldo Pugliese,
Orquesta Julio De Caro con Fanny Navarro,Julio De Caro,Fanny Navarro
Orquesta Edgardo Donato con Félix Guitérrez,Edgardo Donato,Félix Gutiérrez
Orquesta Rodolfo Biagi con Carlos Saavedra,Rodolfo Biagi,Carlos Saavedra
Orquesta Ricardo Tanturi con Roberto Videla y Osvaldo Ribo,Ricardo Tanturi,"Osvaldo Ribó, Roberto Videla"
Orquesta Aníbal Troilo con Edmundo Rivero,Aníbal Troilo,Edmundo Rivero
Orquesta Juan D'Arienzo con Jorge Valdéz y Armando Laborde,Juan D'Arienzo,"Armando Laborde, Jorge Valdez"
Orquesta Horacio Salgán con Edmundo Rivero,Horacio Salgán,Edmundo Rivero
Orquesta Osmar Maderna con Pedro Dátila,Osmar Maderna,Pedro Dátila
Orquesta Típica Victor con Roberto Díaz,Orquesta Típica Víctor,Roberto Díaz
Orquesta Edgardo Donato con Hugo del Carril y Randona,Edgardo Donato,"Randona, Hugo del Carril"
Orquesta Francisco Canaro con Ernesto Rondó,Francisco Canaro,Ernesto Rondó
Orquesta Francisco Canaro con Roberto Fugazot y Agustín Irusta,Francisco Canaro,"Agustín Irusta, Roberto Fugazot"
Orquesta Alfredo De Angelis,Alfredo De Angelis,-
Orquesta Edgardo Donato con Carlos Almada y Alberto Podestá,Edgardo Donato,"Alberto Podestá, Carlos Almada"
