Antonio Bonavena ; Antonio Buglione,Antonio Bonavena,-
Esteban Morgado ; Susana Rinaldi,Esteban Morgado,-unspecified female-
Salvador Pizarro ; Unknown,Salvador Pizarro,
Orquesta Típica Fervor De Buenos Aires ; Instrumental,Orquesta Típica Fervor de Buenos Aires,
Auguste Jean Pesenti ; Nena Sainz,A. J. Pesenti,
Los Reyes Del Compas ; Alberto Paz,,-
"Enrique Francini, Armando Pontier ; Instrumental","Enrique Francini, Armando Pontier",-
"Orquesta Tipica Victor ; Roberto Diaz, Choir",Orquesta Típica Víctor,"Roberto Díaz, -choir-"
Domingo Federico ; Ruben Maciel,Domingo Federico,Rubén Maciel
Cuarteto Del 900 ; Instrumental,Cuarteto del 900,-
Juan Carlos Cobian ; Instrumental,Juan Carlos Cobián,-
"Enrique ""Minotto"" Di Cico ; Instrumental",Minotti Di Cicco,-
Astor Piazzolla ; Instrumental,Astor Piazzolla,-
"Donato Racciatti ; Nina Miranda, Roberto Lister",Donato Racciatti,"Carlos Roldán, Olga Delgrossi"
Tangothic ; Valerie Gilaberte,,
Hector Varela ; Ernesto Herrera,Héctor Varela,Ernesto Herrera
Lucio Demare ; Horacio Quintana,Lucio Demare,Horacio Quintana
Edmundo Rivero ; Unknown,Osvaldo Pugliese,Abel Córdoba
"Antonio Tanturi, Cesar Petrone ; Instrumental",,-
Orquesta Tipica Porteña (Orquesta De RCA Victor) ; Ernesto Fama,Orquesta Típica Porteña,Ernesto Famá
Heinz Huppertz ; Instrumental,,
"Osmar Maderna ; Mario Pomar, Pedro Dátila",Osmar Maderna,"Mario Pomar, Pedro Dátila"
Unknown ; Pjotr Leschenko,,
Astor Piazzolla ; Roberto Goyeneche,Astor Piazzolla,Roberto Goyeneche
Juan D'Arienzo ; Enrique Carbel,Juan D'Arienzo,Enrique Carbel
"Osváldo Fresedo, Dizzy Gillespie ; Instrumental","Osvaldo Fresedo, Dizzy Gillespie",-
