Juan Sanchez Gorio - Vol 1 - 1944-1953 - CTA,02480001041321,1
D'Agostino-Vargas Vol. 1 - Solo Tango,02480002102373,1
Tricota,07798135080068,1
Las Joyas Del Tango Vol. 2 - CTA 1011,02480001101124,1
Alma De Bandoneon - Orquesta Tipica Francisco Canaro - En La Decada Del '30 Vol 10 - AMP 1257,02480002125723,1
La Epoca De Oro Vol. 10 - 1940-1952 - BATC COL5050,02480002150503,1
El Tango - Pasión Y Emoción - CD07,04011222317599,7
Carlos Di Sarli Y Sus Cantores - 1954-1958 - Archivo RCA,00743219561329,1
Anselmo Aieta - 1930-1931 - Sello Columbia - Club De Tango,02480001061428,1
Instrumental 1941-1944,00743214972427,1
Homenaje A El Rey Del Compás - 1944-1949 - Corrientes Y Esmeralda,00828766933925,1
Juan Maglio (Pacho) - BATC ORQ 201,02480002152019,1
Carlos Di Sarli Vol. 13 (1955) - (CTA-513) [Club De Tango Copy],02480001051320,1
Jose Bohr 1926 - CTA,02480001021620,1
Alberto Mancione - Vol 2 - 1952-1956 - CTA,02480001027226,1
La Epoca De Oro Vol. 9 - BATC COL 549,02480002150497,1
Me Gusta Bailar Milonga - Sondor,07730725810723,1
Imperio Argentina - 1930-1935 - BATC COL 5040,02480002150404,1
Anibal Troilo - RCA Víctor 100 Años,00743218543524,1
Tecleando (1952),07798089730293,1
Francisco Canaro - 1930-1941 Corazon De Oro - BAT ORQ 310,02480002153108,1
Antonio Rodio 1943-1944 - BATC ORQ 210,02480001075722,1
Tango Ladies - El Tango Hecho Carne,00008637203429,1
Carlos Di Sarli - Vol 10 - 1945-1946 - Sello RCA Victor - Club De Tango,02480001051023,1
Alberto Castillo Vol. 2 - Grandes Del Tango 47 - Disc 1,07798108081825,1
Julio De Caro - 1949-1951 - CTA 760,02480001076026,1
Juan Maglio - Mi Barrio Querido 1928-1931 - BATC ORQ 294,02480002152941,1
Milongueros,07798125710104,1
Nuestros 30 Mejores Tangos - Disc 1,05099749375420,1
Los Astros Del Tango - Completo Disk 2 - Grandes Del Tango 54,00886788375208,1
Troilo En RCA Victor Vol 07 (1944) - Quejas De Bandoneon,00828766341324,1
Juan Maglio Pacho - 1927-1932 - La Guardia Vieja - Coleccion 78rpm,07798089730804,1
Rosita Quiroga - Vol 3 - 1926-1952 - CTA,02480001080320,1
La Llorona,00639842231923,1
Aldolfo Carabelli - Mi Evocacion 1927-1935 - Coleccion 78rpm,00886974313922,1
Sus Primeros Éxitos Canta Alberto Podesta - Vol. 2,00743214129920,1
Old World Tangos - Vol. 2 Tango Alla Romanesque,04025781104026,1
Carlos Di Sarli - Vol 01 - 1928-1929 - Sello RCA Victor - Club De Tango,02480001050125,1
La Cumparsita  - 25 Versiones Inmortales - BATC,02480002150145,1
Carlos Di Sarli - Vol 08 - 1943-1944 - Sello RCA Victor - Club De Tango,02480001050828,1
Julio De Caro - Bien Jaileife - Reliquias,00724354169724,1
TangoNuevo 2,07798086580136,1
Miguel Calo 1933-1967 - Milonga Portenña - BATC ORQ 298,02480002152989,1
Yunta Brava,00607000598027,1
Orquesta Tipica Victor - Vol 3 - 1926-1927 - CTA,02480001010327,1
Julio Pollero (1927-1928) - CTA 211,02480001021125,1
Antonio Rodio - 1943-1944 - CTA,02480001075722,1
Troilo En RCA Victor Vol 10 (1946) - Mientras Gime El Bandoneon,00828766237221,1
Francisco Lomuto - Sello RCA Victor - Vol 2 (1931-1932) - Club De Tango,02480001022221,1
Julio De Caro 1949-1953 - De Mi Barrio - BATC ORQ 313,02480002153139,1
