Interprete,Album,Track,Tema
"MALERBA, RICARDO",A BAILAR,12,24 DE AGOSTO
"CANARO, FRANCISCO",LA MELODIA DE NUESTRO ADIOS 1938,8,25 DE MAYO
LOMUTO FRANCISCO,ESTIRPE DE TANGO,7,4 DE JUNIO
"D ARIENZO, JUAN",ATANICHE,5,9 DE JULIO
DE ANGELIS ALFREDO,PARA USTEDES...,8,9 DE JULIO
LA TUBATANGO,ZORRO GRIS,2,9 DE JULIO
"PETRUCELLI, LUIS","PETRUCELLI, LUIS (1928/1931)",13,9 DE JULIO
"SALGAN, HORACIO",SILBANDO,1,9 DE JULIO
CABALLERO MANUEL,PA LOS QUE SEPAN BAILAR,8,95 EN LA CARPETA
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),19,A BAILARLO
"SALGAN, HORACIO",SILBANDO,9,A FUEGO LENTO
"DE ANGELIS, ALFREDO","LOS DUOS MARTEL, J.--DANTE, C.",14,A MAGALDI
"DONATO, EDGARDO","DONATO, EDGARDO 1933 -- 1941",19,A OSCURAS
BASSO JOSE,VOLUMEN 2,9,A BAILAR
MALERBA RICARDO,A BAILAR,23,A BAILAR
"MALERBA, RICARDO",A BAILAR,16,A BAILAR
TROILO ANIBAL,VOLUMEN 4,4,A BAILAR
PUGLIESE OSVALDO,BONUS TRACK,15,A BARQUINAZOS
PUGLIESE OSVALDO,BONUS TRACK,15,A BARQUINAZOS
PUGLIESE OSVALDO,BONUS TRACK,15,A BARQUINAZOS
"PUGLIESE, OSVALDO",EL ESLABON PERDIDO,15,"A BARQUINAZOS, DE LA PELICULA ( MIS CINCO HIJOS )"
LAURENZ PEDRO,LOS MEJORES INSTRUMENTALES,6,A BELISARIO ROLDAN
LAURENZ PEDRO,VOLUMEN 4,5,A BELISARIO ROLDAN
MAGLIO JUAN PACHO,PACHO,10,A DONDE VAS PIERROT?
DONATO EDGARDO,EL HURACAN,2,A DONDE VAS TAN REGALON
FRANCINI-PONTIER,VOLUMEN 4,3,A DOS PUNTAS
FRANCINI-PONTIER,INSTRUMENTAL-1,14,A DOS PUNTAS
FRANCINI-PONTIER,INSTRUMENTAL-1,14,A DOS PUNTAS
FRANCINI-PONTIER,INSTRUMENTAL-1,14,A DOS PUNTAS
PUGLIESE OSVALDO,VIVO TEATRO COLON,6,A EVARISTO CARRIEGO
PUGLIESE OSVALDO,COL 5020,11,A EVARISTO CARRIEGO
PUGLIESE OSVALDO,COL 5020,11,A EVARISTO CARRIEGO
PUGLIESE OSVALDO,COL 5020,11,A EVARISTO CARRIEGO
BAREMBOIM-MEDEROS-CONSOLE,INSTRUMENTALES-1,17,A FUEGO LENTO
NUEVO QUINTETO REAL,COL 5017,15,A FUEGO LENTO
NUEVO QUINTETO REAL,COL 5017,15,A FUEGO LENTO
NUEVO QUINTETO REAL,COL 5017,15,A FUEGO LENTO
"PIAZZOLLA, ASTOR",OCTETO BUENOS AIRES -1957,10,A FUEGO LENTO
"PIAZZOLLA, ASTOR",OCTETO BUENOS AIRES -1957,10,A FUEGO LENTO
"PIAZZOLLA, ASTOR",OCTETO BUENOS AIRES -1957,10,A FUEGO LENTO
SALGAN HORACIO,LOS MEJORES INSTRUMENTALES,18,A FUEGO LENTO
SALGAN-DE LIO QUINTETO,COL 5018,15,A FUEGO LENTO
SALGAN-DE LIO QUINTETO,COL 5018,15,A FUEGO LENTO
SALGAN-DE LIO QUINTETO,COL 5018,15,A FUEGO LENTO
TROILO ANIBAL,VOLUMEN 16,3,A HOMERO
FRANCINI-PONTIER,VOLUMEN 3,3,A JOSE MANUEL MORENO
FRANCINI-PONTIER,INSTRUMENTAL-1,9,A JOSE MANUEL MORENO
FRANCINI-PONTIER,INSTRUMENTAL-1,9,A JOSE MANUEL MORENO
FRANCINI-PONTIER,INSTRUMENTAL-1,9,A JOSE MANUEL MORENO
ORQUESTA TODO CORAZON,LATIDOS,4,A JUAN CARLOS COPES
CAMBARERI JUAN CUARTETO,AIETA-MARTINEZ,10,A LA CRIOLLA
DE ANGELIS ALFREDO,LOS MEJORES INSTRUMENTALES,18,A LA CRIOLLA
DARIENZO JUAN,ESTE ES EL REY,9,A LA DARIENZO
VARELA HECTOR,MATINEE DE TANGO,22,A LA FRANCESA
BASSO JOSÉ,COL 5023,13,A LA GRAN MUÑECA
BASSO JOSÉ,COL 5023,13,A LA GRAN MUÑECA
BASSO JOSÉ,COL 5023,13,A LA GRAN MUÑECA
"BIAGI, RODOLFO","BIAGI, RODOLFO INSTRUMENTALES 41/65",10,A LA GRAN MUÑECA
CALO MIGUEL,MIGUEL CALO.SUS EXITOS CON ROBERTO ARRIETA,14,A LA GRAN MUÑECA
DI SARLI CARLOS,LO MEJOR DE CARLOS DI SARLI,1,A LA GRAN MUÑECA
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO,2,A LA GRAN MUÑECA
DI SARLI CARLOS,COL 5005,4,A LA GRAN MUÑECA
DI SARLI CARLOS,LOS MEJORES INSTRUMENTALES,2,A LA GRAN MUÑECA
DI SARLI CARLOS,DOS MAESTROS...,1,A LA GRAN MUÑECA
"DI SARLI, CARLOS",COLECC. 78 RPM 1943 - 1948,10,A LA GRAN MUÑECA
FRANCINI-PONTIER,GRAN ENCUENTRO,4,A LA GRAN MUÑECA
JULIO AHUMADA ORQUESTA,COL 5015,11,A LA GRAN MUÑECA
JULIO AHUMADA ORQUESTA,COL 5015,11,A LA GRAN MUÑECA
JULIO AHUMADA ORQUESTA,COL 5015,11,A LA GRAN MUÑECA
PONTIER ARMANDO,LOS MEJORES INSTRUMENTALES,8,A LA GRAN MUÑECA
ANIBAL TROILO-ROBERTO GRELA,TROILO-GRELA,10,A LA GUARDIA NUEVA
CARUSO CARLOS E.,VOLUMEN 3,4,A LA GUARDIA NUEVA
LEOPOLDO FEDERICO-ROBERTO GRELA,VOLUMEN 1,7,A LA GUARDIA NUEVA
TROILO ANIBAL-GRELA ROBERTO,SELLOS TK Y RCA,8,A LA GUARDIA NUEVA
TROILO ANIBAL-GRELA ROBERTO,VOLUMEN 14,10,A LA GUARDIA NUEVA
FRANCINI-PONTIER,BATC 89226,3,A LA GUARDIA VIEJA
FRANCINI-PONTIER,VOLUMEN 5,3,A LA GUARDIA VIEJA
FRANCINI-PONTIER,INSTRUMENTAL-2,6,A LA GUARDIA VIEJA
TROILO ANIBAL,PONTIER ARMANDO,12,A LA GUARDIA VIEJA
CANARO FRANCISCO,CUARTITO AZUL,2,A LA HUANCACHINA
"DI SARLI, CARLOS",CON ALMA Y VIDA 1951/53,8,A LA LUZ DEL CANDIL (1RA. VERSION)
CASAL JORGE,LA ULTIMA CITA,7,A LA LUZ DEL CANDIL
DI SARLI CARLOS,SEGUNDA EPOCA,2,A LA LUZ DEL CANDIL
DI SARLI CARLOS,DI SARLI-FLORIO-DURAN,5,A LA LUZ DEL CANDIL
"SASSONE, FLORINDO","SASSONE, FLORINDO 78 RPM 1947/1956",7,A LA LUZ DEL CANDIL
TANTURI RICARDO,UNA EMOCION,2,A LA LUZ DEL CANDIL
ORQUESTA TIPICA VICTOR,BAILARIAS,15,A LA MAR SE FUE
BASSO JOSE,JOSE BASSO.SUS EXITOS CON FLOREAL RUIZ,19,A LA MUJER ARGENTINA
"FRESEDO, OSVALDO",DE UN TIEMPO QUE FUE,18,A LA PARRILLA
FRESEDO OSVALDO,LOS MEJORES INSTRUMENTALES,3,A LA PARRILLA
TROILO ANIBAL,VOLUMEN 8,14,A LA PARRILLA
CALO MIGUEL,"MIGUEL CALO.SUS EXITOS CON PODESTA,ORTIZ Y BERON",9,A LAS 7 EN EL CAFE
"CALO, MIGUEL",CUANDO TALLAN LOS RECUERDOS 1943,4,A LAS 7 EN EL CAFE
CALO MIGUEL,LOS MEJORES INSTRUMENTALES,13,A LAS ESTRELLAS
CALÓ MIGUEL,COL 5022,10,A LAS ESTRELLAS
CALÓ MIGUEL,COL 5022,10,A LAS ESTRELLAS
CALÓ MIGUEL,COL 5022,10,A LAS ESTRELLAS
"CALO, MIGUEL","CALO, MIGUEL Y LAS ESTRELLAS",9,A LAS ESTRELLAS
CALO MIGUEL,CUATRO COMPASES,19,A LAS SIETE EN EL CAFE
GARCIA JOSE Y LOS ZORROS GRISES,TU SILENCIO,5,A LO MEJOR QUIEN TE DICE
FRANCINI-PONTIER,VOLUMEN 3,19,A LOS AMIGOS
FRANCINI-PONTIER,GRAN ENCUENTRO,11,A LOS AMIGOS
FRANCINI-PONTIER,INSTRUMENTAL-1,12,A LOS AMIGOS
FRANCINI-PONTIER,INSTRUMENTAL-1,12,A LOS AMIGOS
FRANCINI-PONTIER,INSTRUMENTAL-1,12,A LOS AMIGOS
PONTIER ARMANDO,LOS MEJORES INSTRUMENTALES,20,A LOS AMIGOS
PUGLIESE OSVALDO,PONTIER ARMANDO,15,A LOS AMIGOS
