Interprete,Album,Track,Tema
ROMA OSCAR ORQUESTA,25 VERSIONES INMORTALES,15,LA CUMPARSITA
SALAMANCA FULVIO,ASI FUI YO,14,LA CUMPARSITA
SALAMANCA FULVIO,COL 5014,12,LA CUMPARSITA
SALAMANCA FULVIO,COL 5014,12,LA CUMPARSITA
SALAMANCA FULVIO,COL 5014,12,LA CUMPARSITA
SALAMANCA FULVIO,COL 5014,12,LA CUMPARSITA
SALAMANCA FULVIO,COL 5014,12,LA CUMPARSITA
SALGAN HORACIO-DE LIO UBALDO,COL 5014,18,LA CUMPARSITA
SALGAN HORACIO-DE LIO UBALDO,COL 5017,6,LA CUMPARSITA
SALGAN HORACIO-DE LIO UBALDO,COL 5014,18,LA CUMPARSITA
SALGAN HORACIO-DE LIO UBALDO,COL 5014,18,LA CUMPARSITA
SALGAN HORACIO-DE LIO UBALDO,COL 5017,6,LA CUMPARSITA
SALGAN HORACIO-DE LIO UBALDO,COL 5014,18,LA CUMPARSITA
SALGAN HORACIO-DE LIO UBALDO,COL 5017,6,LA CUMPARSITA
SALGAN-DE LIO QUINTETO,COL 5018,17,LA CUMPARSITA
SALGAN-DE LIO QUINTETO,COL 5018,17,LA CUMPARSITA
SALGAN-DE LIO QUINTETO,COL 5018,17,LA CUMPARSITA
SASSONE FLORINDO,TOMAS RADIALES Y DE TV,12,LA CUMPARSITA
SEOANE ANTONIO,GARDELIANOS,10,LA CUMPARSITA
SIMONE MERCEDES,HIMNO RIO DE LA PLATA,24,LA CUMPARSITA
TANTURI RICARDO,COL 5014,1,LA CUMPARSITA
TANTURI RICARDO,COL 5014,1,LA CUMPARSITA
TANTURI RICARDO,COL 5014,1,LA CUMPARSITA
TANTURI RICARDO,COL 5014,1,LA CUMPARSITA
TANTURI RICARDO,COL 5014,1,LA CUMPARSITA
"TROILO , ANIBAL",INSTRUMENTAL 1941--1944,15,LA CUMPARSITA
TROILO ANIBAL,VOLUMEN 4,6,LA CUMPARSITA
TROILO ANIBAL,VOLUMEN 9,13,LA CUMPARSITA
TROILO ANIBAL,VOLUMEN 11,10,LA CUMPARSITA
TROILO ANIBAL,VOLUMEN 17,5,LA CUMPARSITA
TROILO ANÍBAL,COL 5002,2,LA CUMPARSITA
TROILO ANIBAL,LOS MEJORES INSTRUMENTALES,5,LA CUMPARSITA
TROILO ANIBAL,HIMNO RIO DE LA PLATA,8,LA CUMPARSITA
TROILO ANÍBAL,COL 5014,7,LA CUMPARSITA
TROILO ANÍBAL,COL 5014,7,LA CUMPARSITA
TROILO ANÍBAL,COL 5014,7,LA CUMPARSITA
TROILO ANIBAL CUARTETO,VOLUMEN 21,13,LA CUMPARSITA
TROILO ANIBAL-GRELA ROBERTO,SELLOS TK Y RCA,7,LA CUMPARSITA
TROILO ANIBAL-GRELA ROBERTO,VOLUMEN 14,7,LA CUMPARSITA
VARELA HECTOR,25 VERSIONES INMORTALES,25,LA CUMPARSITA
VARELA HECTOR,MATINEE DE TANGO,1,LA CUMPARSITA
CALO MIGUEL,MIGUEL CALO.RECORDANDO VIEJOS TEMAS,19,LA DE LOS OJOS TRISTES
CALO MIGUEL,RECORDANDO EXITOS,20,LA DE LOS OJOS TRISTES
FIRPO ROBERTO,DE VUELTA AL PAGO,15,LA DESPEDIDA
JUAN POLITO,EL INTERNADO,12,LA DOMA
POLITO JUAN,EL INTERNADO,12,LA DOMA
"TROILO, ANIBAL",VOLUMEN 5,18,LA EMBRIAGUEZ DEL TANGO
DARIENZO JUAN,EU 16009,12,LA ENDIABLADA
DARIENZO JUAN,EU 16009,12,LA ENDIABLADA
DARIENZO JUAN,EU 16009,12,LA ENDIABLADA
GOBBI ALFREDO,VOLUMEN 1,2,LA ENTRERRIANA
"D ARIENZO, JUAN",COLOR CIELO 1944/1947,12,LA ESPUELA
DEMARE LUCIO,LOS MEJORES INSTRUMENTALES,2,LA ESQUINA
DEMARE LUCIO,VOLUMEN 1,3,LA ESQUINA
"DEMARE, LUCIO",AL COMPAS DE UN TANGO 1938/1942,3,LA ESQUINA
TROILO ANIBAL,VOLUMEN 22,9,LA ESQUINA CUALQUIERA
"DE ANGELIS, ALFREDO",LOS DUOS CON DANTE Y LARROCA,5,LA FLAUTA DE BARTOLO
"TROILO, ANIBAL","NI MAS, NI MENOS",4,LA FLOR DE LA CANELA
TROILO ANIBAL,VOLUMEN 15,2,LA FLOR DE LA CANELA
BASSO JOSE,POR LA VUELTA,7,LA FULANA
CANARO FRANCISCO,LA MILONGA DE BUENOS AIRES,5,LA GALARCITA
"D ARIENZO, JUAN",ANDANZAS 1944/1948,9,LA GALARCITA
DARIENZO JUAN,AQUELLOS TANGOS...,19,LA GALARCITA
CANARO FRANCISCO,RAYERO,8,LA GARCONNIERE
DEL RIO ALFREDO,COL 5013,16,LA GAYOLA
DEL RIO ALFREDO,COL 5013,16,LA GAYOLA
DEL RIO ALFREDO,COL 5013,16,LA GAYOLA
DEL RIO ALFREDO,COL 5013,16,LA GAYOLA
DEL RIO ALFREDO,COL 5013,16,LA GAYOLA
DEL RIO ALFREDO,COL 5013,16,LA GAYOLA
LAURENZ PEDRO,VOLUMEN 4,3,LA GAYOLA
RODRIGUEZ ENRIQUE,ESTO ES PURO COMPAS,14,LA GAYOLA
SEOANE ANTONIO,GARDELIANOS,12,LA GAYOLA
MARIA VIVIANA,POEMAS EN TANGO,2,LA GLOBALIZACION
"OCAMPO, CARLOS MONTBRUN",PARA CUYO,1,LA GUARDIA DEL MONTE
MAGLIO JUAN,SE VA LA LANCHA,12,LA GUARDIA VIEJA
MAGLIO JUAN PACHO,PACHO,16,LA GUARDIA VIEJA
"DARIENZO, JUAN",TANGOS PARA EL MUNDO,5,LA GUIÑADA
CALO MIGUEL,MIGUEL CALO.RECORDANDO VIEJOS TEMAS,15,LA GUIÑADA
CALO MIGUEL,LOS MEJORES INSTRUMENTALES,1,LA GUIÑADA
"CARABELLI, ADOLFO",INSPIRACION (1931/1934),17,LA GUIÑADA
"CARABELLI, AFOLFO",ADOLFO CARABELLI 1927-1935,17,LA GUIÑADA
D AMARIO VICTOR,D AMARIO VICTOR (1951-1953),6,LA GUIÑADA
DARIENZO JUAN,ESTE ES EL REY,18,LA GUIÑADA
DE ANGELIS ALFREDO,ACORDES PORTEÑOS,9,LA GUITARRERA
FIRPO ROBERTO,DE VUELTA AL PAGO,3,LA GUITARRERA DE SAN NICOLAS
BALIOTTI ARMANDO SEXTETO,BALIOTTI-KAPLUN,10,LA GUITARRITA
BALIOTTI ARMANDO SEXTETO,AROLAS EDUARDO,14,LA GUITARRITA
"DARIENZO, JUAN",TANGOS PARA EL MUNDO,4,LA GUITARRITA
DONATO EDGARDO,CHIQUE,3,LA GUITARRITA
"SASSONE, FLORINDO",BIEN MILONGUERO VOL.1,5,LA GUITARRITA
"SASSONE, FLORINDO","SASSONE, FLORINDO INSTRUMENTALES",3,LA GUITARRITA
"SASSONE, FLORINDO","SASSONE, FLORINDO 78 RPM 1947/56",16,LA GUITARRITA
"MAFFIA, PEDRO","JUVENTUD MAFFIA, PEDRO 1929/1930",4,LA HISTORIA DE SIEMPRE
"BIAGI, RODOLFO","BIAGI, RODOLFO INSTRUMENTALES 41/65",8,LA HUELLA
CUARTETO VICTOR DE LA GUARDIA VIEJA,VARIOS INTERPRETES 78 RPM 1933/1944,3,LA HUELLA
CUARTETO VICTOR DE LA GUARDIA VIEJA,CONJUNTOS DEL SELLO VICTOR,6,LA HUELLA
MADERNA OSMAR,LOS MEJORES INSTRUMENTALES,17,LA HUELLA
"MADERNA, OSMAR","MADERNA, OSMAR---1946---1951",18,LA HUELLA
"MADERNA, OSMAR","MADERNA, OSMAR VOL.03 (1949/1951)",11,LA HUELLA
TANTURI RICARDO,UNA EMOCION,10,LA HUELLA
GOBBI ALFREDO,VOLUMEN 2,8,LA INTRIGA
"RODRIGUEZ, ENRIQUE",TEMAS INOLVIDABLES,10,LA LEYENDA DEL BESO
CUARTETO TIPICO LOS ASES,CUARTETO TIPICO LOS ASES,9,LA LLAMADA
CUARTETO TIPICO LOS ASES,CANARO FRANCISCO,9,LA LLAMADA
NUEVO QUINTETO REAL,COL 5017,8,LA LLAMO SILBANDO
NUEVO QUINTETO REAL,COL 5017,8,LA LLAMO SILBANDO
NUEVO QUINTETO REAL,COL 5017,8,LA LLAMO SILBANDO
SALGAN HORACIO,LOS MEJORES INSTRUMENTALES,8,LA LLAMO SILBANDO
HERMANAS BERON,PORTEÑOS Y PROVINCIANOS,6,LA LLORONA
DONATO EDGARDO,EL HURACAN,3,LA LLORONA
DI SARLI CARLOS,COL 5005,7,LA LLUVIA
DE ANGELIS ALFREDO,PARA USTEDES...,16,LA LOBA
DE ANGELIS ALFREDO,LOS MEJORES INSTRUMENTALES,7,LA LOBA
"ROSSI, RAFAEL","VALSES,RANCHERAS Y PASODOBLES",10,LA LOCA DE AMOR
MIERES FERNANDO,NOSTALGIAS SIGLO XX,7,LA LUZ DE UN FOSFORO
SALGAN-DE LIO GRAN ORQUESTA-JAPÓN,COL 5018,7,LA LUZ DE UN FÓSFORO
SALGAN-DE LIO GRAN ORQUESTA-JAPÓN,COL 5018,7,LA LUZ DE UN FÓSFORO
SALGAN-DE LIO GRAN ORQUESTA-JAPÓN,COL 5018,7,LA LUZ DE UN FÓSFORO
TROILO ANIBAL,VOLUMEN 4,8,LA LUZ DE UN FOSFORO
"D ARIENZO, JUAN",COLOR CIELO 1944/1947,5,LA MADRUGADA
DARIENZO JUAN,CLAVEL,4,LA MADRUGADA
LAURENZ PEDRO,PATRIA MIA,16,LA MADRUGADA
LAURENZ PEDRO,VOLUMEN 3,8,LA MADRUGADA
"LAURENZ, PEDRO",CREACIONES INOLVIDABLES CON PODESTA Y BERMUDEZ,18,LA MADRUGADA
"LAURENZ, PEDRO",AMURADO 1944/1953,5,LA MADRUGADA
AIETA ANSELMO QUINTETO,DOS ESTILOS EN BANDONEON,11,LA MALEVA
BASSO JOSE,JOSE BASSO.SUS EXITOS CON OSCAR FERRARI,18,LA MALEVA
BIAGI RODOLFO,TANGO Y MILONGA,4,LA MALEVA
BIAGI RODOLFO,A BAILAR,6,LA MALEVA
BIAGI RODOLFO,PURA CLASE,9,LA MALEVA
CALO MIGUEL,MIGUEL CALO.RECORDANDO VIEJOS TEMAS,6,LA MALEVA
CALÓ MIGUEL,DAN 401,11,LA MALEVA
CALO MIGUEL,ORQUESTA ESTRELLAS,8,LA MALEVA
"CALO, MIGUEL",CUANDO TALLAN LOS RECUERDOS 1943,16,LA MALEVA
"CANARO, FRANCISCO",LA MELODIA DE NUESTRO ADIOS 1938,13,LA MALEVA
MARTIN REYNALDO,AQUEL ALEMANCITO,20,LA MALEVA
OSCAR FERRARI,1949-1960,10,LA MALEVA
TROILO ANIBAL,VOLUMEN 2,20,LA MALEVA
TROILO ANIBAL,VOLUMEN 16,18,LA MALEVA
TROILO ANÍBAL CUARTETO,COL 5004,14,LA MALEVA
TROILO ANIBAL-GRELA ROBERTO,SELLOS TK Y RCA,18,LA MALEVA
"TROILO, ANIBAL",INSTRUMENTAL 1941---1944,9,LA MALEVA
DARIENZO JUAN,CLAVEL,7,LA MAÑANA
DE ANGELIS ALFREDO,ACORDES PORTEÑOS,15,LA MAÑANA
BIAGI RODOLFO,TANGO Y MILONGA,13,LA MARCA DE FUEGO
BIAGI RODOLFO,PINTA ORILLERA,11,LA MARCA DE FUEGO
BIAGI RODOLFO,PINTA ORILLERA,22,LA MARCHA NUPCIAL
"BASSO, JOSE",DONDE ESTAS JAPONESITA 1970,5,LA MARIPOSA
DEL PIANO EDUARDO,DEL BUENOS AIRES DE AYER,7,LA MARIPOSA
"FRESEDO, OSVALDO",TANGO MILONGUERO,15,LA MARIPOSA
"MAFFIA, PEDRO","EL PENSAMIENTO/MAFFIA, PEDRO 1930/37",10,LA MARIPOSA
MONTERO MIGUEL,EL TANGO EN LA TV,15,LA MARIPOSA
PUGLIESE OSVALDO,VIVO TEATRO COLON,20,LA MARIPOSA
PUGLIESE OSVALDO,LOS MEJORES INSTRUMENTALES,20,LA MARIPOSA
PUGLIESE OSVALDO,COL 5021,12,LA MARIPOSA
PUGLIESE OSVALDO,COL 5021,12,LA MARIPOSA
PUGLIESE OSVALDO,COL 5021,12,LA MARIPOSA
TROILO ANIBAL,VOLUMEN 8,15,LA MARIPOSA
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES,1,LA MARIPOSA
14 CON EL TANGO,POETAS-PINTORES-MUSICOS,6,LA MARIPOSA Y LA MUERTE
MAGLIO JUAN PACHO,PACHO,1,LA MARQUESITA
"MAGLIO, JUAN (PACHO",ORQ. 2001,1,LA MARQUESITA
CANARO FRANCISCO,FIRPO-CANARO,14,LA MELODIA DE NUESTRO ADIOS
CANARO JUAN,ESTIRPE DE TANGO,11,LA MELODIA DE NUESTRO ADIOS
CANARO RAFAEL,VIEJO GAUCHO,8,LA MELODIA DE NUESTRO ADIOS
"CANARO, FRANCISCO",LA MELODIA DE NUESTRO ADIOS 1938,4,LA MELODIA DE NUESTRO ADIOS
CANARO FRANCISCO,CUARTITO AZUL,8,LA MELODIA DEL CORAZON
CANARO FRANCISCO,LA ROMPEDORA,3,LA MELODIA DEL CORAZON
"TROILO, ANIBAL",MANO BRAVA VOL. 03,9,LA MENTIROSA
CANARO FRANCISCO,FIRPO-CANARO,9,LA MENTIROSA
"CANARO, FRANCISCO",VALSES Y RANCHERAS,10,LA MENTIROSA
DARIENZO JUAN,AQUELLOS TANGOS...,15,LA MENTIROSA
DARIENZO JUAN,CLAVEL,1,LA MENTIROSA
DARIENZO JUAN,AIETA-MARTINEZ,2,LA MENTIROSA
DARIENZO JUAN,DAN 401,8,LA MENTIROSA
RODRIGUEZ ENRIQUE,TANGOS Y RITMOS,13,LA MENTIROSA
TROILO ANIBAL,VOLUMEN 11,9,LA MENTIROSA
VARGAS ANGEL,COL 5011,9,LA MENTIROSA
KAPLUN RAUL,BALIOTTI-KAPLUN,15,LA MESA DE UN CAFE
CANARO FRANSISCO,FRANSISCO CANARO.INSTRUMENTALES PARA BAILAR,18,LA METRALLA
"FRANCINI, ENRIQUE MARIO",ENRIQUE MARIO FRANCINI,17,LA MIEL DE TU BOQUITA
CANARO FRANCISCO,LA MILONGA DE BUENOS AIRES,18,LA MILONGA DE BUENOS AIRES
CANARO FRANSISCO,FRANSISCO CANARO.CANTA ERNESTO FAMA VOL2,9,LA MILONGA DE BUENOS AIRES
"CANARO, FRANCISCO",LA MELODIA DE NUESTRO ADIOS 1938,10,LA MILONGA DE MIS TIEMPOS
CANARO FRANCISCO,LA MILONGA DE BUENOS AIRES,4,LA MILONGA OPTIMISTA
DONATO EDGARDO,SACALE PUNTA,7,LA MILONGA QUE FALTABA
"DONATO, EDGARDO","DONATO, EDGARDO 1933 -- 1941",9,LA MILONGA QUE FALTABA
CANARO FRANCISCO,BAR EXPOSICION,21,LA MILONGA RETOBADA
"REYES, TITO",DURAN -- REYES,18,LA MILONGA Y YO
TROILO ANIBAL,VOLUMEN 23,6,LA MILONGA Y YO
"VIDAL, JORGE",CONFIDENCIAS,6,LA MINA DEL FORD
"DE ANGELIS, ALFREDO",LOS DUOS CON DANTE Y LARROCA,3,LA MISMA TARDE
"DI SARLI, CARLOS",TANGUEANDO TE QUIERO,25,LA MISMA TARDE
FRANCINI-PONTIER,BATC 89227,20,LA MISMA TARDE
FRANCINI-PONTIER,RADIALES INEDITAS,14,LA MISMA TARDE
"BERON, HERMANAS",VOCES FEMENINAS RCA 78 RPM 1927/1962,12,LA MONJITA
ORQUESTA TIPICA VICTOR,SUS PRIMERAS GRABACIONES,3,LA MONJITA
MAIZANI AZUCENA,PERO YO SE,6,LA MONTILLERA
"DI SARLI, CARLOS",CON ALMA Y VIDA 1951/ 53,5,LA MOROCHA (2DA. VERSION)
BASSO JOSÉ,COL 5023,6,LA MOROCHA
BASSO JOSÉ,COL 5023,6,LA MOROCHA
BASSO JOSÉ,COL 5023,6,LA MOROCHA
BASSO. JOSE,DONDE ESTAS JAPONESITA 1970,15,LA MOROCHA
DARIENZO JUAN,ESTE ES EL REY,2,LA MOROCHA
DE ANGELIS ALFREDO,AL COLORADO...,25,LA MOROCHA
DI SARLI CARLOS,MILONGUERO VIEJO,21,LA MOROCHA
DI SARLI CARLOS,DOS MAESTROS...,5,LA MOROCHA
"DI SARLI, CARLOS",COLECC. 78 RPM 1940 - 1943,13,LA MOROCHA
LA TUBATANGO,BIEN CANYENGUE,13,LA MOROCHA
LAMARQUE LIBERTAD,LO MEJOR DE...,8,LA MOROCHA
QUINTETO PIRINCHO,TANGOS DEL TIEMPO VIEJO,3,LA MOROCHA
CANARO RAFAEL,VIEJO GAUCHO,10,LA MUCHACHADA DEL CENTRO
TAGINI FLAVIO,7 LOCOS,10,LA MUERTE DE HAFFNER
TAGINI FLAVIO,7 LOCOS,10,LA MUERTE DE HAFFNER
TAGINI FLAVIO,7 LOCOS,10,LA MUERTE DE HAFFNER
MANCIONE ALBERTO,DJ-TANGO,9,LA MUJER Y LOS VINOS
"DI SARLI, CARLOS",DI SARLI--RUFINO--PODESTA VOL. 3,2,LA MULATEADA
DI SARLI CARLOS,MILONGA DEL SENTIMIENTO,14,LA MULATEADA
DI SARLI CARLOS,DAN 403,10,LA MULATEADA
DI SARLI CARLOS,COL 5005,6,LA MULATEADA
FIRPO ROBERTO,DE VUELTA AL PAGO,17,LA MURRA
BRUNELLI FELICIANO,GRANDES EXITOS,13,LA NARANJA NACIO VERDE
BRUNELLI FELICIANO,GRANDES EXITOS,13,LA NARANJA NACIO VERDE
BRUNELLI FELICIANO,GRANDES EXITOS,13,LA NARANJA NACIO VERDE
CANARO FRANCISCO,CON LOS AMIGOS,17,LA NARANJA NACIO VERDE
"D ARIENZO, JUAN",TANGOS ORILLEROS,13,LA NEGRA BOZAN
CALO MIGUEL,MIGUEL CALO.SUS EXITOS CON ROBERTO ARRIETA,20,LA NEGRA QUIERE BAILAR
CANARO FRANCISCO,CON LOS AMIGOS,13,LA NEGRITA CANDOMBE
SASSONE FLORINDO,TOMAS RADIALES Y DE TV,2,LA NOCHE MAS LINDA
"PUGLIESE, OSVALDO",SUS EXITOS CON ALBERTO MORAN VOL. 2,19,LA NOCHE QUE ME ESPERES
CANARO FRANSISCO,FRANSISCO CANARO.ROBERTO MAIDA CANTA SUS EXITOS,12,LA NOCHE QUE ME ESPERES
CANARO JUAN,AHI VA EL DULCE,15,LA NOCHE QUE ME ESPERES
"CANARO, FRANCISCO",INVIERNO 1937,17,LA NOCHE QUE ME ESPERES
PUGLIESE OSVALDO,PASIONAL,8,LA NOCHE QUE ME ESPERES
CALO MIGUEL,MIGUEL CALO.SUS EXITOS CON RAUL IRIARTE,11,LA NOCHE QUE TE FUISTE
CALO MIGUEL,RECORDANDO EXITOS,23,LA NOCHE QUE TE FUISTE
ORQUESTA TODO CORAZON,LATIDOS,3,LA NOCHE QUE TE FUISTE
ALONSO OSCAR,CHE BANDONEON,5,LA NOVENA
"ARTOLA, HECTOR MARIA",HALCON NEGRO 1937/1962,6,LA NOVENA
BIAGI RODOLFO,PURA CLASE,12,LA NOVENA
DONATO EDGARDO,EL HURACAN,5,LA NOVENA
RACCIATTI DONATO,TU CORAZON,6,LA NOVENA
DE ANGELIS ALFREDO,VOLUMEN 2,7,LA NOVIA AUSENTE
"VIDAL, JORGE",RECORDANDO EXITOS,6,LA NOVIA AUSENTE
ZUNINO MIGUEL,RENACER...,9,LA NOVIA AUSENTE
"DI SARLI, CARLOS",COLECC. 78 RPM 1943 - 1948,20,LA NOVIA DEL MAR
DAGOSTINO ANGEL,ASI ERA EL TANGO,20,LA NUEVA VECINA
GOBBI ALFREDO,VOLUMEN 2,14,LA NUMERO CINCO
LOMUTO FRANCISCO,PERFUME DE MUJER,12,LA OVEJA DESCARRIADA
"LOMUTO, FRANCISCO",PERFUME DE MUJER,12,LA OVEJA DESCARRIADA
"MAGLIO, JUAN (PACHO)",SABADO INGLES,23,LA PAMPA
DARIENZO JUAN,MILONGUEANDO...,22,LA PAPARRUCHITA
"D ARIENZO, JUAN",ATANICHE,9,LA PAYANCA
MORA ENRIQUE CUARTETO,EL CATEDRATICO,16,LA PAYANCA
"D ARIENZO, JUAN",ANDANZAS 1944/1948,6,LA PENA DEL PAYADOR
"MONTERO, MIGUEL",SUS PRIMERAS GRABACIONES,6,LA PIBA DE AL LAO
"MALERBA, RICARDO",A BAILAR,8,LA PIBA DE LOS JAZMINES
BRUNELLI FELICIANO,GRANDES EXITOS,4,LA PICCININA
BRUNELLI FELICIANO,GRANDES EXITOS,4,LA PICCININA
BRUNELLI FELICIANO,GRANDES EXITOS,4,LA PICCININA
DE ANGELIS ALFREDO,AL COLORADO...,10,LA PIEL DE BUENOS AIRES
PONTIER ARMANDO,COL 5005,11,LA PIFIADA
SALAMANCA FULVIO,LOS MEJORES INSTRUMENTALES,12,LA POLQUITA
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,10,LA POLQUITA
SALAMANCA FULVIO,ASI FUI YO,2,LA PORTEÑITA
ORQUESTA TIPICA VICTOR,SUS PRIMERAS GRABACIONES,5,LA PUEBLERA
CASTILLO ALBERTO,ALBERTO CASTILLO.CANDOMBES Y MILONGA,6,LA PULGUITA
ALESSIO ENRIQUE,YO LLEVO UN TANGO...,7,LA PULPERA DE SANTA LUCIA
CASTILLO ALBERTO,ALBERTO CASTILLO.RECUERDO,16,LA PULPERA DE SANTA LUCIA
JULIO AHUMADA ORQUESTA,COL 5015,20,LA PULPERA DE SANTA LUCÍA
JULIO AHUMADA ORQUESTA,COL 5015,20,LA PULPERA DE SANTA LUCÍA
JULIO AHUMADA ORQUESTA,COL 5015,20,LA PULPERA DE SANTA LUCÍA
"ROSSI, RAFAEL","VALSES, RANCHERAS Y PASODOBLES",11,LA PULPERA DE SANTA LUCIA
"FRESEDO, OSVALDO",DE UN TIEMPO QUE PASO,4,LA PUÑALADA
"MORES, MARIANO",GRANDES EXITOS,11,LA PUÑALADA
"CANARO, FRANCISCO",INVIERNO 1937,6,LA PUÑALADA * 1RA. VERSION ORIGINAL
CANARO FRANCISCO,LOS MEJORES INSTRUMENTALES,7,LA PUÑALADA
CANARO FRANSISCO,FRANSISCO CANARO.INTRUMENTALES DE COLECCION,16,LA PUÑALADA
CANARO FRANSISCO,FRANSISCO CANARO.INSTRUMENTALES PARA BAILAR,17,LA PUÑALADA
CANARO FRANSISCO,FRANSISCO CANARO.MILONGUEANDO CON CANARO,1,LA PUÑALADA
"D ARIENZO, JUAN",ATANICHE,16,LA PUÑALADA
DARIENZO JUAN,ESTE ES EL REY,4,LA PUÑALADA
DARIENZO JUAN,DAN 403,2,LA PUÑALADA
DARIENZO JUAN,MILONGUEANDO...,3,LA PUÑALADA
"FIRPO, ROBERTO",LAS MILONGAS MAS MILONGAS,12,LA PUÑALADA
GÓMEZ ALBERTO,COL 5008,13,LA PUÑALADA
LOS TUBATANGO,UNA NOCHE DE GARUFA,8,LA PUÑALADA
MORA ENRIQUE CUARTETO,EL CATEDRATICO,2,LA PUÑALADA
NUEVO QUINTETO REAL,COL 5017,10,LA PUÑALADA
NUEVO QUINTETO REAL,COL 5017,10,LA PUÑALADA
NUEVO QUINTETO REAL,COL 5017,10,LA PUÑALADA
QUINTETO REAL,EL TANGO EN LA TV,12,LA PUÑALADA
BALCARCE EMILIO,YO SOY MILONGA,5,LA QUE MURIO EN PARIS
CANARO FRANCISCO,RAYERO,15,LA QUE MURIO EN PARIS
CASTILLO ALBERTO,ALBERTO CASTILLO.RECUERDO,5,LA QUE MURIO EN PARIS
FIRPO ROBERTO,FIRPO-CANARO,6,LA QUE MURIO EN PARIS
CUARTETO TIPICO LOS ASES,CUARTETO TIPICO LOS ASES,8,LA QUEBRADA
FRESEDO OSVALDO,MALDONADO,6,LA QUEMA
FILIBERTO JUAN DE DIOS,RESPONSO MALEVO,17,LA QUINTERITA
DEMARE LUCIO,LOS MEJORES INSTRUMENTALES,1,LA RACHA
DEMARE LUCIO,VOLUMEN 1,1,LA RACHA
DEMARE LUCIO,BARDI AGUSTIN,7,LA RACHA
"DEMARE, LUCIO",AL COMPAS DE UN TANGO 1938/1942,1,LA RACHA
"DI SARLI, CARLOS",COLECC. 78 RPM 1943 - 1948,16,LA RACHA
JULIO AHUMADA ORQUESTA,COL 5015,16,LA RACHA
JULIO AHUMADA ORQUESTA,COL 5015,16,LA RACHA
JULIO AHUMADA ORQUESTA,COL 5015,16,LA RACHA
RODRIGUEZ ENRIQUE,LOS MEJORES...,19,LA RACHA
TROILO ANIBAL,INSTRUMENTALES-2,9,LA RACHA
TROILO ANIBAL,VOLUMEN 23,15,LA RACHA
TROILO ANIBAL,LOS MEJORES INSTRUMENTALES,17,LA RACHA
ASTOR PIAZZOLLA Y SU ORQUESTA TIPICA,SU PRIMERA ORQUESTA,7,LA RAYUELA
DEL PIANO EDUARDO,BUSTOS-DE ROSAS,3,LA RAYUELA
"DEL PIANO, EDUARDO","DEL PIANO, EDUARDO (1951/1980)",4,LA RAYUELA
PIAZZOLLA ASTOR,DE CARO JULIO,12,LA RAYUELA
PIAZZOLLA ASTOR,1945/1951,9,LA RAYUELA
PUGLIESE OSVALDO,LOS MEJORES INSTRUMENTALES,11,LA RAYUELA
SALAMANCA FULVIO,LOS MEJORES INSTRUMENTALES,16,LA RAYUELA
"STAMPONE, ATILIO",EL TANGO EN LA TEVE. Y LA RADIO,9,LA RAYUELA
CANARO FRANCISCO,ALMA PORTEÑA,18,LA REQUEBRADA
FERNANDEZ JORGE ARGENTINO,DOS ESTILOS EN BANDONEON,19,LA REVANCHA
LAURENZ PEDRO QUINTETO,VOLUMEN 5,1,LA REVANCHA
SALAMANCA FULVIO,ASI FUI YO,5,LA REVANCHA
SALAMANCA FULVIO,INSTRUMENTALES-2,3,LA REVANCHA
TROILO ANIBAL,VOLUMEN 7,6,LA REVANCHA
LOMUTO FRANCISCO,QUE TIEMPO AQUEL,23,LA REVOLTOSA
LOMUTO FRANCISCO,ESTIRPE DE TANGO,10,LA REVOLTOSA
LOMUTO FRANCISCO,ESTIRPE DE TANGO,4,LA REZONGONA
QUINTETO DON PANCHO,ZORRO GRIS,16,LA REZONGONA
CANARO FRANCISCO,BAR EXPOSICION,26,LA ROMPEDORA
CANARO FRANCISCO,LA ROMPEDORA,19,LA ROMPEDORA
CANARO FRANCISCO,LA MILONGA DE BUENOS AIRES,15,LA ROSARINA
"FIRPO, ROBERTO",VARIOS INTERPRETES 78 RPM 1933/1944,18,LA ROSARINA
"D ARIENZO, JUAN",COLECC. 78 RPM 1941-1944,9,LA RUMBITA CANDOMBE
CANARO FRANCISCO,DESTELLOS,10,LA RUMBITA CANDOMBE
CANARO FRANSISCO,FRANSISCO CANARO.MILONGUEANDO CON CANARO,15,LA RUMBITA CANDOMBE
"FRESEDO, OSVALDO",TIGRE VIEJO COLEC. 78 RPM 1933 - 1948 -,17,LA RUMBITA CANDOMBE
RODRIGUEZ ENRIQUE,MOTIVO SENTIMENTAL,8,LA RUMBITA CANDOMBE
"TANTURI, RICARDO",TANGOS DE MI CIUDAD,13,LA SERENATA (MI AMOR)
DI PALMA CLAUDIO,CUANTAS NOCHES,12,LA SERENATA DE AYER
CUARTETO TIPICO LOS ASES,CUARTETO TIPICO LOS ASES,19,LA SIRENA
AIETA ANSELMO QUINTETO,DOS ESTILOS EN BANDONEON,4,LA SONAMBULA
CANARO FRANCISCO,LA MILONGA DE BUENOS AIRES,2,LA SONAMBULA
D AGOSTINO ANGEL,EL BAR DE ROSENDO,4,LA SONAMBULA
DAGOSTINO ANGEL,LOS MEJORES INSTRUMENTALES,9,LA SONAMBULA
DAGOSTINO ANGEL,EU 16011,15,LA SONAMBULA
