78 & 118,Goran Bregovic,1998,World,Ederlezi,05,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/05 - 78 & 118.mp3
Ausencia,Goran Bregovic,1998,World,Ederlezi,06,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/06 - Ausencia [Featuring Cesaria Evora].mp3
Cajesukarije Cocek,Goran Bregovic,1998,World,Ederlezi,07,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/07 - Cajesukarije Cocek.mp3
Kalasnjikov,Goran Bregovic,1998,World,Ederlezi,08,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/08 - Kalasnjikov.mp3
Elo Hi (Canto Nero) [Featuring Ofra Haza],Goran Bregovic,1998,World,Ederlezi,09,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/09 - Elo Hi (Canto Nero) [Featuring Ofra Haza].mp3
Death,Goran Bregovic,1998,World,Ederlezi,10,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/10 - Death.mp3
Dreams,Goran Bregovic,1998,World,Ederlezi,11,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/11 - Dreams.mp3
American Dreamers [Featuring Johnny Depp],Goran Bregovic,1998,World,Ederlezi,12,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/12 - American Dreamers [Featuring Johnny Depp].mp3
Talijanska,Goran Bregovic,1998,World,Ederlezi,13,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/13 - Talijanska.mp3
Man From Reno [Featuring Scott Walker],Goran Bregovic,1998,World,Ederlezi,14,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/14 - Man From Reno [Featuring Scott Walker].mp3
Lullaby,Goran Bregovic,1998,World,Ederlezi,15,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/15 - Lullabye.mp3
Ederlezi,Goran Bregovic,1998,World,Ederlezi,17,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Ederlezi/17 - Ederlezi.mp3
Ev Chistr'ta  Laou! (Cider-Drinking Song),Goran Bregovic,1998,World,Irish Songs,01,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/01 - Ev Chistr ´ta, Laou! (Cider-Drinking Song).mp3
Landlord's Walk,Goran Bregovic,1998,World,Irish Songs,02,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/02 - Landlord's Walk.mp3
Worship,Goran Bregovic,1998,World,Irish Songs,03,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/03 - Worship.mp3
Le Lys Vert-La Bottine Souriante,Goran Bregovic,1998,World,Irish Songs,04,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/04 - Le Lys Vert-La Bottine Souriante.mp3
Stolen Child,Goran Bregovic,1998,World,Irish Songs,05,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/05 - Stolen Child.mp3
Nelson Mandela's Welcome To The City Of Glasgow,Goran Bregovic,1998,World,Irish Songs,06,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/06 - Nelson Mandela's Welcome To The City Of Glasgow.mp3
