Tango,"Ricardo Tanturi, voc. Enrique Campos",Así se canta,1943
Tango,"Ricardo Tanturi, voc. Enrique Campos",Así se canta,1943
Tango,Juan D'Arienzo,Ataniche,1936
,"null, voc. Juan Carlos Jordán",Audacia,
Vals,"Alfredo Gobbi, voc. Carlos Almada",Aunque seas mujer,1953
Vals,"Carlos Di Sarli, voc. Agustín Volpe",Ausencia,1940
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Ave de paso,1945
Tango,Francisco Canaro,Ave sin rumbo,1932
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Avivate pipistrelo,1955
Vals,"Juan D'Arienzo, voc. Alberto Echagüe",Ay Aurora,1939
Tango,"Juan D'Arienzo, voc. Armando Laborde",Ay! Mimosa,1956
Vals,"Francisco Lomuto, voc. Jorge Omar","Ay, mi nena",1937
Tango,Carlos Di Sarli,Bahía Blanca,1957
Tango,Carlos Di Sarli,Bahía Blanca,1957
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Bailarín de contraseña,1945
Tango,"Rodolfo Biagi, voc. Hugo Duval",Bailarina de tango,1951
Milonga,Quinteto Pirincho,Bailonga,4-21
Milonga,Quinteto Pirincho,Bailonga,4-21
Milonga,Quinteto Pirincho,Bailonga,4-21
Tango,"Ricardo Tanturi, voc. Alberto Castillo",Bailongo de los domingos,1943
Vals,Quinteto Pirincho,Bajo el cielo azul,0-25
Vals,"Francisco Canaro, voc. Francisco Amor",Bajo el cielo azul,1941
Tango,"Domingo Federico, voc. Carlos Vidal y Oscar Larroca",Bajo tierra,1947
Vals,"Miguel Caló, voc. Alberto Podestá",Bajo un cielo de estrellas,1941
Vals,"Francisco Lomuto, voc. Fernando Díaz",Bajo un cielo de estrellas,1941
Tango,Carlos Di Sarli,Bar exposición,1952
Tango,,Bar exposición,
Tango,Carlos Di Sarli,"Bar exposición / Cosa linda, barata",1943
Tango,"Ricardo Tanturi, voc. Alberto Castillo",Barajando recuerdos,1943
Tango,Carlos Di Sarli,Barba de choclo,1945
Tango,,Barba de choclo,
Tango,"Alfredo Gobbi, voc. Hugo Soler",Barcarola triste,1947
Tango,"Osvaldo Pugliese, voc. Jorge Vidal",Barra querida,1950
Milonga,"Juan D'Arienzo, voc. Carlos Casares",Barracas al sud,1940
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Barrio de tango,1942
Tango,"Miguel Caló, voc. Jorge Ortiz",Barrio de tango,1943
Tango,"Rodolfo Biagi, voc. Carlos Acuña",Barrio reo,1943
Tango,"Francisco Canaro, voc. Agustín Irusta",Barrio reo,1927
Tango,"Ricardo Tanturi, voc. Enrique Campos y Roberto Videla",Barrio viejo,1946
Milonga,"Domingo Federico, voc. Enzo Valentino",Barrio viejo del ochenta,1950
Tango,,Belén,1929
Tango,Rodolfo Biagi,Bélgica,1942
Tango,"Francisco Canaro, voc. Ernesto Famá","Bernabé, la fiera",1932
Tango,Osvaldo Pugliese,Bien compadre,1949
Milonga,"Ricardo Tanturi, voc. Enrique Campos",Bien criolla y bien porteña,1945
Milonga,"Ricardo Tanturi, voc. Enrique Campos",Bien criolla y bien porteña,1945
Milonga,"Miguel Caló, voc. Raúl Iriarte y Luis Tolosa",Bien criolla y bien porteña,1945
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Bien frappé,1941
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Bien jaileife,1955
Milonga,Juan D'Arienzo,Bien porteña,1957
Tango,Aníbal Troilo,Bien porteño,1944
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Bien pulenta,1950
Tango,Quinteto Pirincho,Boedo,3-24
Tango,Osvaldo Pugliese,Boedo,1948
Tango,Julio De Caro,Boedo,1950
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Boedo y San Juan,1943
Tango,"Miguel Caló, voc. Raúl Iriarte",Bohardilla,1944
Milonga,Juan D'Arienzo,Bolada de aficionado,1941
Tango,"Osvaldo Pugliese, voc. Roberto Chanel",Bolero,1947
Tango,"Ricardo Tanturi, voc. Roberto Videla",Bolero,1948
Tango,"Orquesta Típica Victor, voc. Roberto Díaz",Bronca rea,1929
Tango,Quinteto Pirincho,Bronce,4-21
Tango,"Juan D'Arienzo, voc. Mario Bustos","Bueno, derecho y varón",1958
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Buenos Aires,1942
Tango,"Francisco Lomuto, voc. Jorge Omar",Buenos Aires,1941
Tango,", voc. Oscar Serpa","Buenos Aires, yo te canto",1954
Tango,Aníbal Troilo,C.T.V.,1942
Tango,"Osvaldo Pugliese, voc. Roberto Chanel",Cabecitas blancas,1947
Vals,"Juan D'Arienzo, voc. Alberto Echagüe",Cabeza de novia,1938
Tango,Aníbal Troilo,Cachirulo,1941
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Cada día te extraño más,1943
Tango,"Miguel Caló, voc. Raúl Iriarte",Cada día te extraño más,1943
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Cada día te extraño más,1943
Tango,"Miguel Caló, voc. Raúl Iriarte",Cada día te extraño más,1943
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Cada vez que me recuerdes,1943
Tango,"Osvaldo Pugliese, voc. Alberto Morán",Cadenas,1950
Tango,"Aníbal Troilo, voc. Alberto Marino",Café de los Angelitos,1944
Tango,"Rodolfo Biagi, voc. Alberto Amor",Café de los Angelitos,1945
Tango,"Osvaldo Pugliese, voc. Alberto Morán",Cafetín,1947
Tango,Francisco Canaro,Caído del cielo,1927
Milonga,"Juan D'Arienzo, voc. Alberto Reynal",Cajita de música,1940
Tango,"Ricardo Tanturi, voc. Enrique Campos",Calla bandoneón,1944
Tango,"Ricardo Tanturi, voc. Enrique Campos",Calla bandoneón,1944
Tango,"Juan D'Arienzo, voc. Armando Laborde",Calla bandoneón,1956
Tango,"Rodolfo Biagi, voc. Jorge Ortiz",Calla corazón,1942
Tango,"Rodolfo Biagi, voc. Jorge Ortiz",Callecita de mi barrio,1940
Tango,"Ricardo Tanturi, voc. Roberto Videla",Callejero,1947
Tango,"Ricardo Tanturi, voc. Enrique Campos",Calor de hogar,1945
Tango,"Alfredo Gobbi, voc. Jorge Maciel",Calor de hogar,1951
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Cambalache,1947
Tango,"Miguel Caló, voc. Roberto Arrieta",Cambalache,1947
Tango,"Francisco Lomuto, voc. Jorge Omar y Cerry Brian",Caminito,1935
Tango,", voc. Oscar Serpa",Caminito,
Tango,"Rodolfo Biagi, voc. Alberto Amor",Camino del Tucumán,1946
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Camino del Tucumán,1946
Tango,"Aníbal Troilo, voc. Floreal Ruiz y Alberto Marino",Camino del Tucumán,1946
Tango,"Francisco Canaro, voc. Ernesto Famá",Campanas de bronce,1933
Tango,"Adolfo Carabelli, voc. Charlo",Campanitas del suburbio,1933
Tango,"Ricardo Tanturi, voc. Roberto Videla",Campeonato,1948
Milonga,Miguel Villasboas,Campo afuera,
Milonga,"Rodolfo Biagi, voc. Teófilo Ibáñez",Campo afuera,1939
Tango,Juan D'Arienzo,Canaro,1941
Tango,Quinteto Pirincho,Canaro en París,4-13
Tango,Osvaldo Pugliese,Canaro en París,1949
