A la gran muñeca,T0370183939,tango,Donato Racciatti,,,02:58
A la gran muñeca,T0370183939,tango,Florindo Sassone,-,1966-03-08,02:49
A la gran muñeca,T0370183939,tango,Francisco Lomuto,Jorge Omar,1936-01-15,03:06
A la gran muñeca,T0370183939,tango,,,,02:36
A la gran muñeca,T0370183939,tango,,-,1960,02:54
A la gran muñeca,T0370183939,tango,Jorge Arduh,Javier Di Ciriaco,,03:26
A la gran muñeca,T0370183939,tango,José Basso,-,1970,02:16
A la gran muñeca,T0370183939,tango,Juan D'Arienzo,-,1963-12-17,02:48
A la gran muñeca,T0370183939,tango,,-,,03:15
A la gran muñeca,T0370183939,tango,Leopoldo Federico,-,,03:08
A la gran muñeca,T0370183939,tango,,-,1960,03:02
A la gran muñeca,T0370183939,tango,Miguel Caló,Roberto Arrieta,1948-05-01,03:14
A la gran muñeca,T0370183939,tango,Miguel Villasboas,-,1997,02:12
A la gran muñeca,T0370183939,tango,,,,
A la gran muñeca,,electro,,,,03:04
A la gran muñeca,T0370183939,tango,Roberto Firpo,,,
A la gran muñeca,T0370183939,tango,Roberto Firpo,,1918,02:31
A la gran muñeca,T0370183939,?,Roberto Firpo,-,1920,02:22
A la gran muñeca,T0370183939,tango,Rodolfo Biagi,-,1950-04-13,02:09
A la gran muñeca,T0370183939,tango,Héctor Varela,-,,02:59
A la gran muñeca,T0370183939,tango,Héctor Varela,-,1951-05-28,03:00
A la gran muñeca,T0370183939,tango,Héctor Varela,-,1952-06-09,02:56
A la gran muñeca,T0370183939,tango,Héctor Varela,-,1964-05-21,03:04
A la gran muñeca,T0370183939,tango,Trio Pantango,-,,04:53
A la gran muñeca,T0370183939,tango,Trío Yumba,-,,02:09
A la gran muñeca,T0370183939,tango,Quinteto Ángel,-,2004,02:55
A la gran muñeca,T0370183939,tango,"Quinteto Pirincho, dir. Francisco Canaro",-,1951-12-12,03:22
A la gran muñeca,T0370183939,tango,Quinteto Real,-,,02:55
A la gran muñeca,T0370183939,tango,Los señores del tango,-,1960,02:53
A la gran muñeca,T0370183939,tango,Los Solistas de D'Arienzo,-,,02:46
A la gran muñeca,T0370183939,tango,Mandragora Tango Orchestra,-,2005-06-04,02:45
A la gran muñeca,T0370183939,tango,Muzet Royal,-,,
A la gran muñeca,T0370183939,tango argentino,Orquesta Típica Select,-,1920-08-24,03:34
A la gran muñeca,T0370183939,tango,Orquesta Típica Tokio,Ranko Fujisawa,1952,02:43
A la guardia nueva,T0370474740,tango,"Anibal Arias, Osvaldo José Montes",,,02:54
A la guardia nueva,T0370474740,tango,"Leopoldo Federico, Roberto Grela",,,03:03
A la guardia nueva,T0370474740,tango,Cuarteto Troilo-Grela,-,1955,02:48
A la guardia vieja,T0370316587,tango,"Enrique Francini, Armando Pontier",-,1952-10-24,03:08
A la Huacachina,T0468465577,paso doble,Enrique Rodríguez,Roberto Flores,1938-06-27,03:17
A la Huacachina,T0468465577,paso doble,Francisco Canaro,Francisco Amor,1939-02-27,03:05
A la lima y al limón,T0421430161,vals,Francisco Canaro,Guillermo Rico,1944-12-06,02:39
A la luz de las tabernas,Z0999901973,tango,,Héctor Mauré,1962,02:44
A la luz de un candil,T0370000455,tango,Florindo Sassone,Jorge Casal,1948-03-23,
A la luz de un candil,T0370000455,tango,Raúl Miguel Garello,Roberto Rufino,1970-11-09,02:41
A la luz del candil,T0370000455,tango,,Edmundo Rivero,,02:15
A la luz del candil,T0370000455,tango,Carlos Di Sarli,Jorge Durán,1956-09-27,03:38
A la luz del candil,T0370000455,tango,Carlos Di Sarli,Mario Pomar,1952-09-15,02:27
A la luz del candil,T0370000455,tango,Florindo Sassone,Jorge Casal,1948-03-23,02:34
A la luz del candil,T0370000455,tango,Francisco Canaro,-,1927-08-20,02:46
A la luz del candil,T0370000455,tango,Francisco Lomuto,-,1927-08-08,03:15
A la luz del candil,T0370000455,tango,"Guillermo Barbieri, José Ricardo",Carlos Gardel,1927-07-20,02:19
A la luz del candil,T0370000455,tango,Juan Félix Maglio,-,1927-08-05,03:06
A la luz del candil,T0370000455,tango,Lorenzo Barbero,Carlos Del Monte,1950-06-16,03:22
A la luz del candil,T0370000455,tango,Armando Cupo,Miguel Montero,,
A la luz del candil,T0370000455,tango,Osvaldo Fresedo,-,1927-05-28,03:08
A la luz del candil,T0370000455,tango,Osvaldo Pugliese,Miguel Montero,1954-07-14,03:17
A la luz del candil,T0370000455,tango,Ricardo Tanturi,Carlos Ortega,1937-06-23,02:42
A la luz del candil,T0370000455,tango,Roberto Firpo,-,1927-06-09,03:07
A la luz del candil,T0370000455,tango,Roberto Firpo,-,1927-06-11,03:09
A la luz del candil,T0370000455,tango,Rodolfo Biagi,Carlos Acuña,1943-03-03,02:45
A la luz del candil,T0370000455,tango,Color Tango,-,2009,03:21
A la luz del candil,T0370000455,tango,-unspecified guitars-,Edmundo Rivero,,02:16
A la luz del candil,T0370000455,tango,-unspecified guitars-,Edmundo Rivero,1951,02:14
A la luz del candil,T0370000455,tango,-unspecified guitars-,Ignacio Corsini,1927,02:07
A la luz del candil,T0370000455,tango,,Ignacio Corsini,,
